SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,Denver,1250,Kindergarten,Performance Plan,8th Grade,Performance Plan
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,Denver,1251,Kindergarten,Performance Plan,8th Grade,Performance Plan
RIFLE MIDDLE SCHOOL,Rifle,1252,5th Grade,Performance Plan,8th Grade,Performance Plan
WITT ELEMENTARY SCHOOL,Westminster,1253,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
PETE MIRICH ELEMENTARY SCHOOL,La Salle,1254,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EXPEDITIONARY LEARNING SCHOOL,Denver,1255,Kindergarten,Performance Plan,12th Grade,Performance Plan
RIDGWAY ELEMENTARY SCHOOL,Ridgway,1256,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LONGMONT ESTATES ELEMENTARY SCHOOL,Longmont,1257,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CARLSON ELEMENTARY SCHOOL,Idaho Springs,1258,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HOWELL K-8 SCHOOL,Denver,1259,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HOWELL K-8 SCHOOL,Denver,1260,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SHELLEDY ELEMENTARY SCHOOL,Fruita,1261,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EAST ELEMENTARY SCHOOL,Craig,1262,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BILL METZ ELEMENTARY SCHOOL,Monte Vista,1263,2nd Grade,Performance Plan,5th Grade,Performance Plan
NORTHSIDE ELEMENTARY SCHOOL,Montrose,1264,Kindergarten,Performance Plan,5th Grade,Performance Plan
AKRON ELEMENTARY SCHOOL,Akron,1265,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
AKRON ELEMENTARY SCHOOL,Akron,1266,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SAGEBRUSH ELEMENTARY SCHOOL,Aurora,1267,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RIFLE MIDDLE SCHOOL,Rifle,1268,5th Grade,Performance Plan,8th Grade,Performance Plan
WINOGRAD K-8 ELEMENTARY SCHOOL,Greeley,1269,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
NEWTON MIDDLE SCHOOL,Centennial,1270,6th Grade,Performance Plan,8th Grade,Performance Plan
FRUITA 8/9 SCHOOL,Fruita,1271,8th Grade,Performance Plan,9th Grade,Performance Plan
CENTENNIAL MIDDLE SCHOOL,Montrose,1272,6th Grade,Performance Plan,8th Grade,Performance Plan
VENETUCCI ELEMENTARY SCHOOL,Colorado Springs,1273,Kindergarten,Performance Plan,6th Grade,Performance Plan
MERINO ELEMENTARY SCHOOL,Merino,1274,Kindergarten,Performance Plan,6th Grade,Performance Plan
STOTT ELEMENTARY SCHOOL,Arvada,1275,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
NORTH MOR ELEMENTARY SCHOOL,Northglenn,1276,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
VALDEZ ELEMENTARY SCHOOL,Denver,1277,Pre-Kindergarten,Performance Plan,7th Grade,Improvement Plan
VALDEZ ELEMENTARY SCHOOL,Denver,1278,Pre-Kindergarten,Performance Plan,7th Grade,Improvement Plan
L.W. ST. JOHN ELEMENTARY SCHOOL,Parachute,1279,4th Grade,Performance Plan,5th Grade,Performance Plan
WINGATE ELEMENTARY SCHOOL,Grand Junction,1280,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HEATHERWOOD ELEMENTARY SCHOOL,Boulder,1281,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GUNNISON ELEMENTARY SCHOOL,Gunnison,1282,1st Grade,Performance Plan,5th Grade,Performance Plan
NAMAQUA ELEMENTARY SCHOOL,Loveland,1283,Kindergarten,Performance Plan,5th Grade,Performance Plan
SUMMIT ELEMENTARY SCHOOL,Divide,1284,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EAST MIDDLE SCHOOL,Aurora,1285,6th Grade,Performance Plan,8th Grade,Performance Plan
HIGHLINE COMMUNITY ELEMENTARY SCHOOL,Aurora,1286,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SWINK JUNIOR-SENIOR HIGH SCHOOL,Swink,1287,7th Grade,Performance Plan,12th Grade,Performance Plan
LUMBERG ELEMENTARY SCHOOL,Edgewater,1288,Kindergarten,Performance Plan,6th Grade,Performance Plan
EMERALD ELEMENTARY SCHOOL,Broomfield,1289,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
INDEPENDENCE ELEMENTARY SCHOOL,Aurora,1290,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CLEAR CREEK MIDDLE SCHOOL,Evergreen,1291,7th Grade,Performance Plan,8th Grade,Performance Plan
MANN MIDDLE SCHOOL,Colorado Springs,1292,6th Grade,Performance Plan,8th Grade,Performance Plan
KAISER ELEMENTARY SCHOOL,Denver,1293,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
DOS RIOS ELEMENTARY SCHOOL,Evans,1294,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SHANNER ELEMENTARY SCHOOL,Holly,1295,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SWANSON ELEMENTARY SCHOOL,Arvada,1296,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
KNOWLEDGE QUEST ACADEMY,Milliken,1297,Kindergarten,Performance Plan,8th Grade,Performance Plan
PARKVIEW ELEMENTARY SCHOOL,Lamar,1298,3rd Grade,Performance Plan,4th Grade,Performance Plan
NORWOOD HIGH SCHOOL,Norwood,1299,6th Grade,Performance Plan,12th Grade,Performance Plan
PEYTON ELEMENTARY SCHOOL,Peyton,1300,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
BOLTZ MIDDLE SCHOOL,Fort Collins,1301,6th Grade,Performance Plan,8th Grade,Performance Plan
BEULAH HEIGHTS ELEMENTARY SCHOOL,Pueblo,1302,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,Ft Collins,1303,Kindergarten,Performance Plan,8th Grade,Performance Plan
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,Ft Collins,1304,Kindergarten,Performance Plan,8th Grade,Performance Plan
MESA ELEMENTARY SCHOOL,Cortez,1305,Kindergarten,Performance Plan,5th Grade,Performance Plan
CROWLEY COUNTY WARD MIDDLE SCHOOL,Ordway,1306,6th Grade,Performance Plan,8th Grade,Performance Plan
EDISON ELEMENTARY SCHOOL,Denver,1307,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GRANT MIDDLE SCHOOL,Denver,1308,6th Grade,Performance Plan,8th Grade,Improvement Plan
MARTIN LUTHER KING MIDDLE COLLEGE,Denver,1309,6th Grade,Performance Plan,12th Grade,Improvement Plan
HIGH POINT ACADEMY,Aurora,1310,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HIGH POINT ACADEMY,Aurora,1311,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
STELLAR ELEMENTARY SCHOOL,Thornton,1312,Kindergarten,Performance Plan,5th Grade,Performance Plan
HORIZON MIDDLE SCHOOL,Aurora,1313,6th Grade,Performance Plan,8th Grade,Performance Plan
WESTPARK ELEMENTARY SCHOOL,Leadville,1314,1st Grade,Performance Plan,4th Grade,Performance Plan
CORWIN INTERNATIONAL MAGNET SCHOOL,Pueblo,1315,4th Grade,Performance Plan,8th Grade,Performance Plan
LINCOLN ELEMENTARY SCHOOL,Canon City,1316,Kindergarten,Performance Plan,5th Grade,Performance Plan
WILSON ELEMENTARY SCHOOL,Colorado Springs,1317,Kindergarten,Performance Plan,5th Grade,Performance Plan
OAK GROVE ELEMENTARY SCHOOL,Montrose,1318,Kindergarten,Performance Plan,5th Grade,Performance Plan
CRAVER MIDDLE SCHOOL,Colorado City,1319,6th Grade,Performance Plan,8th Grade,Performance Plan
TRAIL RIDGE MIDDLE SCHOOL,Longmont,1320,6th Grade,Performance Plan,8th Grade,Performance Plan
STERLING MIDDLE SCHOOL,Sterling,1321,6th Grade,Performance Plan,8th Grade,Performance Plan
D C S MONTESSORI CHARTER SCHOOL,Castle Rock,1322,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MILLIKEN ELEMENTARY SCHOOL,Milliken,1323,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SARAH MILNER ELEMENTARY SCHOOL,Loveland,1324,Kindergarten,Performance Plan,5th Grade,Performance Plan
MC KINLEY-THATCHER ELEMENTARY SCHOOL,Denver,1325,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
CHERRELYN ELEMENTARY SCHOOL,Englewood,1326,Kindergarten,Performance Plan,5th Grade,Performance Plan
LASLEY ELEMENTARY SCHOOL,Lakewood,1327,Kindergarten,Performance Plan,6th Grade,Performance Plan
FIELD ELEMENTARY SCHOOL,Littleton,1328,Kindergarten,Performance Plan,5th Grade,Performance Plan
TALBOTT ELEMENTARY SCHOOL,Colorado Springs,1329,Kindergarten,Performance Plan,6th Grade,Performance Plan
LAKE INTERNATIONAL SCHOOL,Denver,1330,6th Grade,Performance Plan,8th Grade,Priority Improvement Plan
GARDNER ELEMENTARY SCHOOL,Gardner,1331,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
GARDNER ELEMENTARY SCHOOL,Gardner,1332,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
CONRAD BALL MIDDLE SCHOOL,Loveland,1333,6th Grade,Performance Plan,8th Grade,Performance Plan
VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,Aurora,1334,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
COLUMBINE ELEMENTARY SCHOOL,Denver,1335,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
PENNINGTON ELEMENTARY SCHOOL,Wheat Ridge,1336,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
TOPE ELEMENTARY SCHOOL,Grand Junction,1337,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SOUTH MESA ELEMENTARY SCHOOL,Pueblo,1338,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JAMES MADISON CHARTER ACADEMY SCHOOL,Colorado Springs,1339,Kindergarten,Performance Plan,6th Grade,Performance Plan
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,Mosca,1340,7th Grade,Performance Plan,12th Grade,Performance Plan
SEDALIA ELEMENTARY SCHOOL,Sedalia,1341,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CACHE LA POUDRE MIDDLE SCHOOL,La Porte,1342,6th Grade,Performance Plan,8th Grade,Performance Plan
SECOND CREEK ELEMENTARY SCHOOL,Commerce City,1343,Kindergarten,Performance Plan,5th Grade,Performance Plan
MEEKER ELEMENTARY SCHOOL,Greeley,1344,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SHAWSHEEN ELEMENTARY SCHOOL,Greeley,1345,Kindergarten,Performance Plan,5th Grade,Performance Plan
GILPIN COUNTY ELEMENTARY SCHOOL,Black Hawk,1346,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MARTINEZ ELEMENTARY SCHOOL,Colorado Springs,1347,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HAYDEN VALLEY ELEMENTARY SCHOOL,Hayden,1348,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HI PLAINS ELEMENTARY SCHOOL,Vona,1349,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
HOPKINS ELEMENTARY SCHOOL,Centennial,1350,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MESA VIEW ELEMENTARY SCHOOL,Grand Junction,1351,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CACHE LA POUDRE ELEMENTARY SCHOOL,La Porte,1352,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CHARLES HAY WORLD SCHOOL,Englewood,1353,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
LITTLE ELEMENTARY SCHOOL,Arvada,1354,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
PLATTE VALLEY ELEMENTARY SCHOOL,Sedgwick,1355,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
BUCHANAN MIDDLE SCHOOL,Wray,1356,5th Grade,Improvement Plan,8th Grade,Improvement Plan
FORT LEWIS MESA ELEMENTARY SCHOOL,Hesperus,1357,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FORT MORGAN MIDDLE SCHOOL,Fort Morgan,1358,7th Grade,Improvement Plan,8th Grade,Improvement Plan
MARTENSEN ELEMENTARY SCHOOL,Wheat Ridge,1359,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
CESAR CHAVEZ ACADEMY,Pueblo,1360,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
HIGHLAND MIDDLE SCHOOL,Ault,1361,6th Grade,Improvement Plan,8th Grade,Improvement Plan
AVERY/PARSONS ELEMENTARY SCHOOL,Buena Vista,1362,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
GREEN ACRES ELEMENTARY SCHOOL,Fort Morgan,1363,1st Grade,Improvement Plan,4th Grade,Improvement Plan
MOFFAT ELEMENTARY SCHOOL,Moffat,1364,Pre-Kindergarten,Improvement Plan,4th Grade,Improvement Plan
NEW VISION CHARTER SCHOOL,Loveland,1365,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
BUCHANAN MIDDLE SCHOOL,Wray,1366,5th Grade,Improvement Plan,8th Grade,Improvement Plan
MOORE MIDDLE SCHOOL,Arvada,1367,7th Grade,Improvement Plan,8th Grade,Improvement Plan
WATSON JUNIOR HIGH SCHOOL,Colorado Springs,1368,7th Grade,Improvement Plan,8th Grade,Improvement Plan
SMILEY MIDDLE SCHOOL,Denver,1369,6th Grade,Improvement Plan,8th Grade,Priority Improvement Plan
KULLERSTRAND ELEMENTARY SCHOOL,Wheat Ridge,1370,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
ORTEGA MIDDLE SCHOOL,Alamosa,1371,6th Grade,Improvement Plan,8th Grade,Improvement Plan
DE BEQUE ELEMENTARY SCHOOL,De Beque,1372,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
O'CONNELL MIDDLE SCHOOL,Lakewood,1373,7th Grade,Improvement Plan,8th Grade,Improvement Plan
HARRISON SCHOOL,Canon City,1374,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
ROCKY MOUNTAIN CLASSICAL ACADEMY,Colorado Springs,1375,Kindergarten,Improvement Plan,10th Grade,Improvement Plan
UNIVERSITY SCHOOLS,Greeley,1376,Kindergarten,Improvement Plan,12th Grade,Improvement Plan
SALIDA MIDDLE SCHOOL,Salida,1377,5th Grade,Improvement Plan,8th Grade,Improvement Plan
BRIGGSDALE ELEMENTARY SCHOOL,Briggsdale,1378,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HARRISON SCHOOL,Canon City,1379,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
BARRETT ELEMENTARY SCHOOL,Denver,1380,Pre-Kindergarten,Improvement Plan,5th Grade,Priority Improvement Plan
BRISTOL ELEMENTARY SCHOOL,Colorado Springs,1381,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SOUTH LAKEWOOD ELEMENTARY SCHOOL,Lakewood,1382,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
UNIVERSITY SCHOOLS,Greeley,1383,Kindergarten,Improvement Plan,12th Grade,Improvement Plan
NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,Aurora,1384,6th Grade,Improvement Plan,8th Grade,Improvement Plan
GRAND VALLEY MIDDLE SCHOOL,Parachute,1385,6th Grade,Improvement Plan,8th Grade,Improvement Plan
PLEASANT VIEW ELEMENTARY SCHOOL,Golden,1386,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
MINNEQUA ELEMENTARY SCHOOL,Pueblo,1387,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PLATTEVILLE ELEMENTARY SCHOOL,Platteville,1388,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
GRANT ELEMENTARY SCHOOL,Colorado Springs,1389,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HOEHNE JUNIOR HIGH SCHOOL,Trinidad,1390,7th Grade,Improvement Plan,8th Grade,Improvement Plan
BARONE MIDDLE SCHOOL,Meeker,1391,6th Grade,Improvement Plan,8th Grade,Improvement Plan
VIVIAN ELEMENTARY SCHOOL,Lakewood,1392,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
SILVER HILLS MIDDLE SCHOOL,Northglenn,1393,6th Grade,Improvement Plan,8th Grade,Improvement Plan
ELKHART ELEMENTARY SCHOOL,Aurora,1394,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CASTRO ELEMENTARY SCHOOL,Denver,1395,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WAMSLEY ELEMENTARY SCHOOL,Rifle,1396,Pre-Kindergarten,Improvement Plan,4th Grade,Improvement Plan
WINOGRAD K-8 ELEMENTARY SCHOOL,Greeley,1397,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
SEVERANCE MIDDLE SCHOOL,Windsor,1398,6th Grade,Improvement Plan,8th Grade,Improvement Plan
SABIN MIDDLE SCHOOL,Colorado Springs,1399,6th Grade,Improvement Plan,8th Grade,Improvement Plan
MARRAMA ELEMENTARY SCHOOL,Denver,1400,Pre-Kindergarten,Improvement Plan,5th Grade,Performance Plan
WHITTIER K-8 SCHOOL,Denver,1401,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
WHITTIER K-8 SCHOOL,Denver,1402,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
SUMMIT MIDDLE SCHOOL,Frisco,1403,6th Grade,Improvement Plan,8th Grade,Improvement Plan
HANSON PREK-8 SCHOOL,Commerce City,1404,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
SKOGLUND MIDDLE SCHOOL,Center,1405,6th Grade,Improvement Plan,8th Grade,Improvement Plan
COLE ARTS AND SCIENCE ACADEMY,Denver,1406,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
COLE ARTS AND SCIENCE ACADEMY,Denver,1407,Pre-Kindergarten,Improvement Plan,8th Grade,Improvement Plan
SCHMITT ELEMENTARY SCHOOL,Denver,1408,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CHERAW MIDDLE SCHOOL,Cheraw,1409,6th Grade,Improvement Plan,8th Grade,Improvement Plan
CIMARRON ELEMENTARY SCHOOL,Aurora,1410,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
AUDUBON ELEMENTARY SCHOOL,Colorado Springs,1411,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WILEY ELEMENTARY SCHOOL,Wiley,1412,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
JACKSON ELEMENTARY SCHOOL,Colorado Springs,1413,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
BEAVER VALLEY ELEMENTARY SCHOOL,Brush,1414,3rd Grade,Improvement Plan,5th Grade,Improvement Plan
SECREST ELEMENTARY SCHOOL,Arvada,1415,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
BROMLEY EAST CHARTER SCHOOL,Brighton,1416,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
FOX RIDGE MIDDLE SCHOOL,Aurora,1417,6th Grade,Improvement Plan,8th Grade,Improvement Plan
HI PLAINS UNDIVIDED HIGH SCHOOL,Seibert,1418,7th Grade,Improvement Plan,12th Grade,Improvement Plan
PEAR PARK ELEMENTARY SCHOOL,Grand Junction,1419,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WIDEFIELD ELEMENTARY SCHOOL,Colorado Springs,1420,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
AGUILAR ELEMENTARY SCHOOL,Aguilar,1421,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
PATRIOT LEARNING CENTER,Falcon,1422,6th Grade,Improvement Plan,12th Grade,Improvement Plan
MANZANOLA ELEMENTARY SCHOOL,Manzanola,1423,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
MONTE VISTA MIDDLE SCHOOL,Monte Vista,1424,6th Grade,Improvement Plan,8th Grade,Improvement Plan
SANGRE DE CRISTO ELEMENTARY SCHOOL,Hooper,1425,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
LAURENE EDMONDSON ELEMENTARY SCHOOL,Loveland,1426,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WEST GRAND MIDDLE SCHOOL,Kremmling,1427,6th Grade,Improvement Plan,8th Grade,Improvement Plan
PINELLO ELEMENTARY SCHOOL,Colorado Springs,1428,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
WILMORE DAVIS ELEMENTARY SCHOOL,Wheat Ridge,1429,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
SUNSET PARK ELEMENTARY SCHOOL,Pueblo,1430,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
GIBERSON ELEMENTARY SCHOOL,Colorado Springs,1431,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
FOOTHILLS ELEMENTARY SCHOOL,Lakewood,1432,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
WESTGATE ELEMENTARY SCHOOL,Lakewood,1433,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
MANAUGH ELEMENTARY SCHOOL,Cortez,1434,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MOUNTAIN VIEW ELEMENTARY SCHOOL,Longmont,1435,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WEST INTERGENERATIONAL CENTER,Colorado Springs,1436,6th Grade,Improvement Plan,8th Grade,Improvement Plan
MALLEY DRIVE ELEMENTARY SCHOOL,Northglenn,1437,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
BARNUM ELEMENTARY SCHOOL,Denver,1438,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
DOVE CREEK HIGH SCHOOL,Dove Creek,1439,7th Grade,Improvement Plan,12th Grade,Improvement Plan
RIVERSIDE SCHOOL,New Castle,1440,5th Grade,Improvement Plan,8th Grade,Improvement Plan
HANOVER JUNIOR-SENIOR HIGH SCHOOL,Colorado Springs,1441,6th Grade,Improvement Plan,12th Grade,Improvement Plan
NORWOOD ELEMENTARY SCHOOL,Norwood,1442,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
TRINIDAD MIDDLE SCHOOL,Trinidad,1443,6th Grade,Improvement Plan,8th Grade,Improvement Plan
GATEWAY ELEMENTARY SCHOOL,Woodland Park,1444,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SIMLA JUNIOR HIGH SCHOOL,Simla,1445,6th Grade,Improvement Plan,8th Grade,Improvement Plan
CHAMBERLIN ACADEMY,Colorado Springs,1446,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PITT-WALLER K-8 SCHOOL,Denver,1447,Pre-Kindergarten,Improvement Plan,8th Grade,Priority Improvement Plan
PITT-WALLER K-8 SCHOOL,Denver,1448,Pre-Kindergarten,Improvement Plan,8th Grade,Priority Improvement Plan
DUNSTAN MIDDLE SCHOOL,Lakewood,1449,7th Grade,Improvement Plan,8th Grade,Improvement Plan
MOUNTAIN VIEW ELEMENTARY SCHOOL,Windsor,1450,3rd Grade,Improvement Plan,5th Grade,Improvement Plan
ELLICOTT MIDDLE SCHOOL,Ellicott,1451,6th Grade,Improvement Plan,8th Grade,Improvement Plan
PIKES PEAK ELEMENTARY SCHOOL,Colorado Springs,1452,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WELD CENTRAL JUNIOR HIGH SCHOOL,Keenesburg,1453,7th Grade,Improvement Plan,8th Grade,Improvement Plan
JOHNSON ELEMENTARY SCHOOL,Montrose,1454,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PLATTE VALLEY MIDDLE SCHOOL,Kersey,1455,6th Grade,Improvement Plan,8th Grade,Improvement Plan
INDIAN PEAKS ELEMENTARY SCHOOL,Longmont,1456,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CENTENNIAL ELEMENTARY,Firestone,1457,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
VALVERDE ELEMENTARY SCHOOL,Denver,1458,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
COLUMBINE ELEMENTARY SCHOOL,Fort Morgan,1459,1st Grade,Improvement Plan,4th Grade,Improvement Plan
ABRAMS ELEMENTARY SCHOOL,Fort Carson,1460,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SHADOW RIDGE MIDDLE SCHOOL,Thornton,1461,6th Grade,Improvement Plan,8th Grade,Improvement Plan
JEWELL ELEMENTARY SCHOOL,Aurora,1462,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
LAMAR MIDDLE SCHOOL,Lamar,1463,7th Grade,Improvement Plan,8th Grade,Improvement Plan
OLATHE ELEMENTARY SCHOOL,Olathe,1464,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
KNOWLEDGE QUEST ACADEMY,Milliken,1465,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
